ID,Name,Address,Type
C850742,218 LINCOLN PLACE,"218 LINCOLN PLACE, BROOKLYN, NY, 11217",COOPERATIVE
C870330,123 W 81ST STREET,"123 W 81ST STREET, NEW YORK, NY, 10024",COOPERATIVE
C870645,562 WEST END AVENUE,"562 WEST END AVENUE, NEW YORK, NY",COOPERATIVE
C880049,561 TENTH STREET,"561 TENTH STREET, BROOKLYN, NY, 11215",COOPERATIVE
CD810076,WHITEBEACH LUXURY CONDO I,"SCHURZ AVE., BRONX, NY, 10465",CONDOMINIUM
CD850342,108 EAST 35TH STREET CONDOMINIUM,"108 EAST 35TH STREET, NEW YORK, NY, 10016",CONDOMINIUM
CD860248,LAKELAND CONDO IV A/K/A LAKES AT SETAUKET,"OLD TOWN ROAD, SETAUKET, NY",CONDOMINIUM
CD870245,SANTA FE CONDOMINIUM,"257-259-261 TWELFTH STREET, HOBOKEN, NJ, 07030",CONDOMINIUM
CD880193,READE HOUSE CONDOMINIUM,"311 GREENWICH STREET, NEW YORK, NY, 10013",CONDOMINIUM
CD880376,NOB HILL CONDOMINIUM,"TARRYTOWN ROAD, VILLAGE OF ELMSFORD, NY, 10523",CONDOMINIUM
CD890269,FRANKLIN COMMONS CONDOMINIUM,"55 SOUTH FRANKLIN AVENUE, NYACK, NY, 10960",CONDOMINIUM
CD910096,MILES BARLOW CONDOMINIUM,"MILES AND BARLOW AVENUE, STATEN ISLAND, NY, 10308",CONDOMINIUM
CD920011,ROSEWOOD CONDOMINIUM (THE),"322 WEST 14TH STREET, NEW YORK, NY, 10014",CONDOMINIUM
C700009,GRAMERCY OWNERS CPS-5-#89-116),"44 GRAMERCY PARK NORTH, NEW YORK, NY",COOPERATIVE
C800539,105-111 WEST 70TH STREET,"105-111 W. 70TH ST., NEW YORK, NY, 10023",COOPERATIVE
C810040,CAPRICE (ABANDONED 3/13/84-RS3),"320 EAST 58TH ST., NEW YORK, NY, 10022",COOPERATIVE
C810684,"133-135 E. 30TH STREET (CPS-5, #90-051)","133-135 E. 30TH ST., NEW YORK, NY, 10016",COOPERATIVE
C830370,21 MONROE HOUSING CORP.,"21 MONROE PLACE, BROOKLYN, NY, 11201",COOPERATIVE
C840304,396 EIGHTH STREET TENANTS CORP.,"396 EIGHTH STREET, BROOKLYN, NY, 11215",COOPERATIVE
C850099,24 EIGHTH AVENUE,"24 EIGHTH AVENUE, BROOKLYN, NY, 11217",COOPERATIVE
C870142,474 3RD OWNERS CORP,"474 3RD STREET, BROOKLYN, NY, 11215",COOPERATIVE
C870456,128-11 NEWPORT AVENUE,"128-11 NEWPORT AVENUE, BELLE HARBOR, NY, 11694",COOPERATIVE
CC840004,MERCER SQUARE OWNERS CORP. **CPS-5-00-006**,"250 MERCER STREET, NEW YORK, NY, 10012",COOPERATIVE/CONDOMINIUM
CD820208,TURTLE BAY HOUSE CONDOMINIUM,"249 EAST 48TH STREET, NEW YORK, NY, 10017",CONDOMINIUM
CD900039,AUSTIN ST COMMERICAL II CONDO,"70-15/17 AUSTIN STREET, FOREST HILLS, NY, 11375",CONDOMINIUM
CD900095,LEXINGTON COUNCIL CONDO,"86-88 MESEROLE AVENUE, BROOKLYN, NY, 11222",CONDOMINIUM
CD920093,ORCHARDS AT HOLMDEL,"LAUREL AVENUE, HOLMDEL, NJ, 07733",CONDOMINIUM
H860134,LAKES OF SHERBROOKE (CPS-1),"8443 WHITE EGRET WAY, LAKE WORTH, FL, 33467",HOMEOWNERS ASSOCIATION
C810183,PENNY POINT ESTATES (ARLINGTON SHORES),"40 PENNY LANE, HAMPTON BAYS, NY, 11946",COOPERATIVE
C840192,42-42 COLDEN STREET,"42-42 COLDEN STREET, NEW YORK, NY, 11355",COOPERATIVE
C850513,655 MIDDLE COUNTRY ROAD,"655 MIDDLE COUNTRY ROAD, TOWN OF BROOKHAVEN, NY, 11727",COOPERATIVE
C860570,68-37 108TH STREET/AKA CAPRI GARDENS,"68-37 108TH STREET, FOREST HILLS, NY, 11375",COOPERATIVE
C870511,44 HICKS STREET,"44 HICKS STREET, BROOKLYN, NY, 11201",COOPERATIVE
CD810117,HOLLYWOOD HILLS CONDO,"HOLLYWOOD HILLS RD, OLD FORGE, NY, 13420",CONDOMINIUM
CD830115,MILLBROOK HOLLOW CONDOMINIUM,"FRANKLIN AVENUE, ROUTE 44, MILLBROOK, NY, 99999",CONDOMINIUM
CD860170,WOODS AT KING POND,"WOODS BROOKE CIRCLE & BULLET HOLE ROAD, CARMEL, NY, 10541",CONDOMINIUM
CD870410,1250-1260 AVENUE Y CONDO(CPS-1),"1250-1260 AVENUE Y, BROOKLYN, NY, 11235",CONDOMINIUM
CD960032,TWIN PONDS (CPS-1),"BOWMAN AVENUE, RYEBROOK, NY, 10573",CONDOMINIUM
H850128,RAYCLIFFE AT WOODSTOCK *ALL UNITS SOLD*,"WEST SAUGERTIES ROAD, WOODSTOCK, NY",HOMEOWNERS ASSOCIATION
L800013,"135 HUDSON ST. COOP., INC.","135 HUDSON ST., NEW YORK, NY, 10013",COOPERATIVE
NY870008,444 WEST 54TH STREET,"444 WEST 54TH STREET, NEW YORK, NY, 10019",COOPERATIVE
NY920010,517 WEST 48TH STREET HDFC,"517 WEST 48TH STREET, NEW YORK, NY, 10036",OTHER
NY940012,98-100 AVENUE C HDFC,"98-100 AVENUE C, NEW YORK, NY, 10009",OTHER
C790127,331 TENANTS CORPORATION,"331 EAST 83RD ST., NEW YORK, NY, 10028",COOPERATIVE
C800046,WYKAGYL GARDENS,"WYKAGYL GARDENS, NEW ROCHELLE, NY, 10802",COOPERATIVE
C810045,WESTCHESTER TOWERS,"1841-1853 CENTRAL PARK AVE., YONKERS, NY, 10710",COOPERATIVE
C810166,334 TENANTS CORP (CPS-6 #93-030),"332-334 WEST 85TH STREET, NEW YORK, NY, 10024",COOPERATIVE
C820424,23 STERLING PLACE,"23 STERLING PLACE, BROOKLYN, NY, 11217",COOPERATIVE
C830181,9411 SHORE ROAD,"9411 SHORE ROAD, BROOKLYN, NY, 11209",COOPERATIVE
C850188,175 EASTERN PARKWAY,"175 EASTERN PARKWAY, BROOKLYN, NY, 11238",COOPERATIVE
CD800139,WOODBROOKE ESTATES COND. SECTION II,"CHARLESTON AVE. & HAMPTON PLACE, STATEN ISLAND, NY, 10309",CONDOMINIUM
CD820024,VISCAYA CONDOMINIUMS,"110 EAST 71ST STREET, NEW YORK, NY, 10021",CONDOMINIUM
CD850038,HARBOR TOWERS (CPS-1),"3900 WASHINGTON ROAD, W. PALM BEACH, FL, 33405",CONDOMINIUM
CD850050,FLUSHING GARDENS CONDOMINIUM,"134-05,11,17 DAHLIA AVE., 43-15 SAULL STREET, FLUSHING, NY, 11355",CONDOMINIUM
CD880498,RIVERVIEW CONDOMINIUM HOTEL(CPS-1),"2 NORTH ST AUGUSTINE BLVD, ST AUG, FL, 32084",CONDOMINIUM
CD880529,BROOKHILL RESIDENCES I,"WHITEFACE INN ROAD, LAKE PLACID, NY, 12946",CONDOMINIUM
CD960047,CEDERS AT CRYSTAL SPRINGS CONDOMINIUM (THE),"SUGAR MAPLE LANE, HAMBURG, NJ, 07419",CONDOMINIUM
NY870005,280 MOTT STREET H.D.F.C.,"280 MOTT STREET, NEW YORK, NY",COOPERATIVE
C790254,210 E. 21ST STREET TENANTS CORP.,"210 E. 21ST STREET, NEW YORK, NY, 10010",COOPERATIVE
C840283,237-39 ELDRIDGE STREET,"237 ELDRIDGE STREET, NEW YORK, NY, 10002",COOPERATIVE
C860281,78-86 THAYER STREET,"78-86 THAYER ST., NEW YORK, NY",COOPERATIVE
C890174,KIAMESHA INN BUNGALOWS INC.,"FRASIER ROAD, KIAMESHA, NY, 12751",COOPERATIVE
CC870009,47 WALKER STREET CONDOMINIUM,"47 WALKER STREET, NEW YORK, NY, 10013",COOPERATIVE
CD810138,OAKRIDGE CONDOMINIUM V,"WEST OF SMITH RIDGE ROAD ROUTE 123, VISTA, NY, 10590",CONDOMINIUM
CD830158,82 BEAVER STREET CPS1,"82 BEAVER STREET, NEW YORK, NY, 10007",CONDOMINIUM
CD850416,REMSEN GARDENS CONDOMINIUM,"1270-1288 EAST 91ST STREET, BROOKLYN, NY, 11236",CONDOMINIUM
CD860489,CLOS 76 CONDOMINIUM (THE),"40 WEST 76TH STREET, NEW YORK, NY, 10023",CONDOMINIUM
H820007,BIRCH RUN HOMEOWNER'S ASSOCIATION,"BIRCH RUN HOMEOWNER'S ASSOCIATION, SARATOGA SPRINGS, NY, 12866",HOMEOWNERS ASSOCIATION
H840029,BOCAIRE HOMEOWNERS ASSOCIATION,"2501 PALM-AIRE DRIVE NORTH, POMPANO BEACH, FL, 33431",HOMEOWNERS ASSOCIATION
H850012,VILLAGE OF WOODLAND HILLS (CPS-1),"300 CASCADE LANE, PLAM HARBOR, FL, 33563",HOMEOWNERS ASSOCIATION
H860003,HAILE PLANTATION (CPS-1) (SEE NEW # H86-015),"4620 S.W. 75TH STREET, GAINESVILLE, FL, 32608",HOMEOWNERS ASSOCIATION
H890118,RIDGEWOOD HOA,"BOX 177 STAR RT., FORT ANN, NY, 12804",HOMEOWNERS ASSOCIATION
NY880037,1516 BEDFORD AVENUE,"1516 BEDFORD AVENUE, BROOKLYN, NY, 11216",COOPERATIVE
C790158,157 PPW OWNERS LTD,"157 PROSPECT PARK WEST, BROOKLYN, NY, 11215",COOPERATIVE
C790304,195 PRINCE CORP,"195 PRINCE STREET, NEW YORK, NY, 10012",COOPERATIVE
C810767,122 WEST 73RD STREET,"122 WEST 73RD ST., NEW YORK, NY, 10023",COOPERATIVE
C820150,SAXONY HALL(NEW # C-85-0365),"87-15 165TH STREET, JAMAICA, NY, 11435",COOPERATIVE
C840095,"ONE HUNDRED GRAND, INC.-WITHDRAW","100-102 GRAND STREET (SEE *C 84-354 ), NEW YORK, NY, 10012",COOPERATIVE
C850447,154 RADFORD STREET (RESUBMIT),"154 RADFORD STREET, YONKERS, NY, 10705",COOPERATIVE
C850479,2506 DAVIDSON AVE,"2506 DAVIDSON AVE, BRONX, NY, 10458",COOPERATIVE
C860093,105 WEST 105TH STREET,"105 WEST 105TH STREET, NEW YORK, NY, 10128",COOPERATIVE
C890246,317 WEST 104TH STREET,"317 WEST 104TH STREET, NEW YORK, NY, 10024",COOPERATIVE
C900047,"BEVERWYCK, INC.","40 AUTUMN DRIVE, SLINGERLANDS, NY, 12159",COOPERATIVE
CD780147,988 FIFTH AVENUE CONDOMINIUM,"988 FIFTH AVENUE, NEW YORK, NY, 10021",CONDOMINIUM
CD830259,OLIVER STREET CONDO,"29 OLIVER STREET, NEW YORK, NY, 10038",CONDOMINIUM
CD870045,GLENWOOD EAST CONDOMINIUM,"1097-1113 EAST 93RD STREET, BROOKLYN, NY, 11236",CONDOMINIUM
H870186,NORTH STAR VILLAGE AT BRISTOL MOUNTAIN,"BRISTOL VALLEY RD. RD. 64, S. BRISTOL, NY, 14424",HOMEOWNERS ASSOCIATION
H880001,KEYS GATE COMMUNITY ASSOC,"VILLAGES OF HOMESTEAD, HOMESTEAD, FL, 33035",HOMEOWNERS ASSOCIATION
C810145,350 E. 77TH ST. CORP.,"350 E. 77TH STREET, NEW YORK, NY, 10021",COOPERATIVE
C830143,SURF CLUB AT MONTAUK,"ESSEX STREET & SURFSIDE AVENUE, MONTAUK, NY, 11954",COOPERATIVE
C850288,180 THOMPSON OWNERS CORP.,"180 THOMPSON STREET, NEW YORK, NY, 10012",COOPERATIVE
C850577,13 CHEEVER PL OWNERS CORP,"13 CHEEVER PLACE, BROOKLYN, NY, 11231",COOPERATIVE
C870575,202 WASHINGTON AVENUE,"202 WASHINGTON AVENUE, CEDARHURST, NY, 11516",COOPERATIVE
CD860227,HILL CONDOMINIUM (THE),"171-183 BATTLE AVENUE, WHITE PLAINS, NY, 10606",CONDOMINIUM
CD860249,RIVERVIEW CHATEAU CONDOMINIUM (CPS-1),"11-18 31ST AVENUE, ASTORIA, NY, 11106",CONDOMINIUM
CD870474,132 LAFAYETTE CONDO (ABAND RS-3 FILED 1/6/89),"132 LAFAYETTE STREET, NEW YORK, NY",CONDOMINIUM
CD890173,AMERICA CONDOMINIUM,"470 PARK PLACE, LONG BEACH, NY, 11561",CONDOMINIUM
CD900143,37-47 75TH STREET CONDO,"37-47 75TH STREET, JACKSON HEIGHTS, NY, 11375",CONDOMINIUM
H870145,"LAKESHORE HOMEOWNERS I,II,III","P.O. 340 (COPAKE LAKE, TOWN OF COPAKE), CRARYVILLE, NY, 12521",HOMEOWNERS ASSOCIATION
H880109,"BRIDGE HOLLOW HOMEOWNERS ASSOCIATION,LTD.","ROUTE 240, CONCORD, NY, 10469",HOMEOWNERS ASSOCIATION
NY820030,1500 BOSTON ROAD,"1500 BOSTON ROAD, BRONX, NY, 10460",COOPERATIVE
NY840032,172 DELANCEY STREET,"172 DELANCEY STREET, NEW YORK, NY, 10002",OTHER
NY860034,760 HUNT POINT AVENUE,"760 HUNT POINT AVENUE, BRONX, NY, 10452",COOPERATIVE
C780023,45 WEST PONDFIELD ROAD,"45 WEST PONDFIELD ROAD, BRONXVILLE, NY, 10708",COOPERATIVE
C780170,MOUNTAIN MEADOWS PARK,"TOWN OF HOLLAND, ERIE, NY",COOPERATIVE
C830348,PARK EAST OWNERS CORP.,"105 EAST 38TH STREET, NEW YORK, NY, 10016",COOPERATIVE
C840116,GRISWALD (THE),"141-05 PERSHING CRESCENT, BRIARWOOD, NY, 11435",COOPERATIVE
C850490,38-25 PARSONS BLVD,"38-25 PARSONS BLVD, NEW YORK, NY, 11354",COOPERATIVE
C850763,150 EAST 18TH STREET,"150 EAST 18TH STREET, BROOKLYN, NY, 11226",COOPERATIVE
C860306,322 & 324 WEST 88TH STREET,"322 & 324 WEST 88TH STREET, NEW YORK, NY, 10024",COOPERATIVE
C860609,INGRESS AT ERIE CANAL OFFICE PARK (CPS-1),"1700 LONG POND ROAD, GREECE, NY, 14626",COOPERATIVE
C860738,1560 EAST 18TH STREET,"1560 EAST 18TH STREET, BROOKLYN, NY, 11230",COOPERATIVE
CD880367,BAY RIDGE MEDICAL OFFICE CONDOMINIUM,"370 BAY RIDGE PARKWAY, BROOKLYN, NY, 11209",CONDOMINIUM
H840048,LAKESHORE HILLS,"ROUTE 9N, HAGUE, NY, 12836",HOMEOWNERS ASSOCIATION
H840083,OAKMONT COLONY HOA,"EAST RIVER ROAD, GRAND ISLAND, NY, 99999",HOMEOWNERS ASSOCIATION
H860081,VILLAGE GATE AT NYACK,"ROUTE 9W, ORANGTOWN, NY",HOMEOWNERS ASSOCIATION
H910053,CANTERBURY WOODS HOA,"YE OLDE ROAD (RD #2), CLYMER, NY, 14724",HOMEOWNERS ASSOCIATION
H930051,"GATEHOUSE LANE HOA, INC.F/K/A(PARADISE HOLLOW","600 PARADISE ROAD              ROAD), AMHERST, NY, 14221",HOMEOWNERS ASSOCIATION
C800016,145 NASSAU STREET,"145 NASSAU STREET, NEW YORK, NY, 10038",COOPERATIVE
C810254,347-349 EAST 53RD STREET (CPS-5 #89-094),"347-349 EAST 53RD STREET, NEW YORK, NY",COOPERATIVE
C820418,WINDLE PARK,"56 WINDLE PARK, GREENBERG, NY, 10705",COOPERATIVE
C830042,1409 ALBEMARLE ROAD,"1409 ALBEMARLE ROAD, BROOKLYN, NY, 11226",COOPERATIVE
C830189,NOB HILL COUNTRY CLUB,"NOB HILL COUNTRY CLUB, MONTICELLO, NY, 12701",COOPERATIVE
C850158,51 CROSS STREET,"51 CROSS STREET, YONKERS, NY, 10708",COOPERATIVE
C880212,320 WEST 15TH STREET,"320 WEST 15TH STREET, NEW YORK, NY, 10011",COOPERATIVE
C890159,377 WEST ONONDAGA STREET,"377 WEST ONONDAGA STREET, SYRACUSE, NY, 13202",COOPERATIVE
C950016,HARBOUR COVE,"VERITY LANE, BALDWIN HARBOR, NY, 11510",COOPERATIVE
CD830245,LAKES OF CARRIAGE HILLS #11,"690 SABEL PALM BLVD., EAST TAMARAC, FL, 33319",CONDOMINIUM
CD890188,QUAIL RUN VILLAGE CONDOMINIUM,"3001 JOHNSON ROAD, FORT PIERCE, FL, 34950",CONDOMINIUM
H890007,WOODLAKE COUNTRY CLUB (CPS-1),"WOODLAKE COUNTRY CLUB, VASS, NC, 28394",HOMEOWNERS ASSOCIATION
NY900060,551 WEST 160TH STREET (HDFC),"551 WEST 160TH STREET, NEW YORK, NY",COOPERATIVE
NY940064,1020 TIFFANY STREET HDFC,"1020 TIFFANY STREET, BRONX, NY",OTHER
T890004,ALHAMBRA AT POINCIANA III,"500 EAST CYPRESS PARKWAY, POINCIANA, FL, 32758",OTHER
