138.toys.	3600	in	ns	curitiba.ns.porkbun.com.
138.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
138.toys.	3600	in	ns	maceio.ns.porkbun.com.
138.toys.	3600	in	ns	salvador.ns.porkbun.com.
15869.toys.	3600	in	ns	curitiba.ns.porkbun.com.
15869.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
15869.toys.	3600	in	ns	maceio.ns.porkbun.com.
15869.toys.	3600	in	ns	salvador.ns.porkbun.com.
164.toys.	3600	in	ns	dns1.registrar-servers.com.
164.toys.	3600	in	ns	dns2.registrar-servers.com.
168.toys.	3600	in	ns	curitiba.ns.porkbun.com.
168.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
168.toys.	3600	in	ns	maceio.ns.porkbun.com.
168.toys.	3600	in	ns	salvador.ns.porkbun.com.
1688.toys.	3600	in	ns	ns1.dyna-ns.net.
1688.toys.	3600	in	ns	ns2.dyna-ns.net.
18.toys.	3600	in	ns	dns1.registrar-servers.com.
18.toys.	3600	in	ns	dns2.registrar-servers.com.
188bet.toys.	3600	in	ns	amber.ns.cloudflare.com.
188bet.toys.	3600	in	ns	jonah.ns.cloudflare.com.
18plus.toys.	3600	in	ns	christina.ns.cloudflare.com.
18plus.toys.	3600	in	ns	rick.ns.cloudflare.com.
1a.toys.	3600	in	ns	ns1.dns-parking.com.
1a.toys.	3600	in	ns	ns2.dns-parking.com.
1d94cafo29dn59la86mucdhsp20r6v9j.toys.	3600	in	nsec3	1 1 0 73 1DDO901GVRTT6RSAE8CDS4VUNKMGRCD6 NS DS RRSIG
1d94cafo29dn59la86mucdhsp20r6v9j.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. X4ql4R5PE/idDBShD7OqmYWKkzW97TIyr8CVjssQoa+37Y29TIlWRaqsF7OPyHDAtF/dCf7+KH2UzFDpjdUJJhDKOhwWaZmXab5fgnNDCat87aMDuq0tWfAmRuTFK6c/r1iQAH+/JwYHGAQASGOpOXSEQEuHUhqnOc4J3SjPrjI=
1ddo901gvrtt6rsae8cds4vunkmgrcd6.toys.	3600	in	nsec3	1 1 0 73 1G1UG056BMPMN21LIFSMSOKV96QU4FND NS DS RRSIG
1ddo901gvrtt6rsae8cds4vunkmgrcd6.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. PLBgrFI9ww2lWxi4/2aDxZr0jliqeRwDMLo6jInQphwa6LGu/E9B202teNpIip7vjkd2MR6sgy/BM9QKlRUaFg3+VUA4YSvaxrxPb5nfo5UkYiYFSBkqoJIPi3GWSoOnc2k5AqUqv4yTTPC9We22WJuWQP45bo+q62e6OU9hZO8=
1g1ug056bmpmn21lifsmsokv96qu4fnd.toys.	3600	in	nsec3	1 1 0 73 1J8G1TUFO6NED0OSH2UJPEL9L83H1D2S NS DS RRSIG
1g1ug056bmpmn21lifsmsokv96qu4fnd.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. x7gXUvn/SDNW10YAurkhS+28nqem8hDtr09nT66JOVMPO3HCmde9x3sAAcUEkJmmpbxvGeGiccX1wKpKxnHxUXlzwdAljiy34uPWXXuKvXkGWNtkIowh/baVoiMKcPFU+G8Bo7JzkGXoE9waNuBIT09y/4c5FhhDCS24KKbTWBQ=
1j8g1tufo6ned0osh2ujpel9l83h1d2s.toys.	3600	in	nsec3	1 1 0 73 1M7KMORNEV1E72LMVL6T8D5UIEQ5KUH7 NS DS RRSIG
1j8g1tufo6ned0osh2ujpel9l83h1d2s.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. C++gQICCONusoOTj/42jWPB+T3QpXSOSlwcWC3mC5S9hp7Msdted7bqBCpbGx8FzAf3nODEbHvj/glCxjZW/fZdxeVF7W5XdhOhJC/8uX4liMnFYaRc1bdMwKQv71dTUDC05J6PXZIs3gxgXAvf6NfMydokemNRjC0XeDe4j6iU=
1m7kmornev1e72lmvl6t8d5uieq5kuh7.toys.	3600	in	nsec3	1 1 0 73 1MG7U1DB90OPP0AKN7J5LE3UMCMTNBE2 NS DS RRSIG
1m7kmornev1e72lmvl6t8d5uieq5kuh7.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. 7DjKSPE/lDT4fUHXO0QZKbc4hbu05/PArzEkksWtgV38wz8AGEy+3+hBo5lJmvH+oKLJWs5Bhtp2gkOiJKkLbDl86bmZp/L5uwUnsZj9dKroWuyHEfU1Uqs+kZSmogVaWqioSmQ/kC1sFU8Gyw7q8F+0CJm982AhMsyu19ha0sk=
1mg7u1db90opp0akn7j5le3umcmtnbe2.toys.	3600	in	nsec3	1 1 0 73 1RMMD9927664H59FP4G7U3SNS6OEV7NB NS DS RRSIG
1mg7u1db90opp0akn7j5le3umcmtnbe2.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. oDetCleGMLCB3fQK1akfOJFfgx6wQ2ONZxxPSTSBWhWr60CbPjfN2p9CP+C1NK/ZRXvyTfGO2+6yWolvj9naPVtmUEmp29bYeWHvt33LjYYgisM2fPLvCpQhHwFgqRjk4NfMI82M3x1LMfeIJaAc68Iy/ysigE/aRFiNl5ELUeM=
1rmmd9927664h59fp4g7u3sns6oev7nb.toys.	3600	in	nsec3	1 1 0 73 1S35OMCE4DPPVFDNA0JJDOP6U26C5LEJ NS DS RRSIG
1rmmd9927664h59fp4g7u3sns6oev7nb.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. vwSSHpPcIAd7w7m3b/75YLkLn/CobpCaeBpPYCGET2UIZiRT3QZtmYb//++4ZZ+7Z9CtorfAi5UeB/nWvmHu8e68P9+LNswjTWTZ3/8EOxeCewYzWtbuIWfNExKGHXUVUp/AVseQ9zAzgInOeuuwB+BpYJzaOiev/tzVgr2ZQSA=
1s35omce4dppvfdna0jjdop6u26c5lej.toys.	3600	in	nsec3	1 1 0 73 245EON9RCQCTJGCSGGMEQUJGEKA9QCAM NS DS RRSIG
1s35omce4dppvfdna0jjdop6u26c5lej.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. J2Pd06jp+HfnwFLmvImME5clzeIZ+i/t/oVbeERyAppubiZymdAn5YHSszD9DMxVbrQ1BLJ0JpbQjwaZB0lfBLcWPu3EzKXFLDNfJ0mr3MMg2YM6JD+FkC7EJqrrR2SHcreJPoTr0aXl9TgfKpfswIuRAu34HPv857rOiSatsXo=
1st.toys.	3600	in	ns	dolly.ns.cloudflare.com.
1st.toys.	3600	in	ns	elijah.ns.cloudflare.com.
1up.toys.	3600	in	ns	romina.ns.cloudflare.com.
1up.toys.	3600	in	ns	trace.ns.cloudflare.com.
1win.toys.	3600	in	ns	ns1.pananames.com.
1win.toys.	3600	in	ns	ns2.pananames.com.
1win.toys.	3600	in	ns	ns3.pananames.com.
1win.toys.	3600	in	ns	ns4.pananames.com.
1xbet.toys.	3600	in	ns	ns1.pl603.parklogic.com.
1xbet.toys.	3600	in	ns	ns2.pl603.parklogic.com.
21.toys.	3600	in	ns	ns1dhl.name.com.
21.toys.	3600	in	ns	ns2btz.name.com.
21.toys.	3600	in	ns	ns3fhx.name.com.
21.toys.	3600	in	ns	ns4hny.name.com.
23.toys.	3600	in	ns	ns1.reg.ru.
23.toys.	3600	in	ns	ns2.reg.ru.
245eon9rcqctjgcsggmequjgeka9qcam.toys.	3600	in	nsec3	1 1 0 73 25N7MS0SL4J9EV4QO23SDLKBII6USO84 NS DS RRSIG
245eon9rcqctjgcsggmequjgeka9qcam.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. dy67kIy/oqc3n2K+CW3sPgw8zGzJiRvywE6WFwsckN9LRmPTuD6AHaLCRkD1ISEkyCJV3i1oxJTox2E7/FgzGwrVpPE7mCmqB/t81zI8sIcjpJD/uACILIpJfOPKw+gODtUlNC8Kyyif4QPsIrlhHgC9Gxv5BafVVd9Qhjno3yk=
24h.toys.	3600	in	ns	curitiba.ns.porkbun.com.
24h.toys.	3600	in	ns	fortaleza.ns.porkbun.com.
24h.toys.	3600	in	ns	maceio.ns.porkbun.com.
24h.toys.	3600	in	ns	salvador.ns.porkbun.com.
24x7.toys.	3600	in	ns	ns65.domaincontrol.com.
24x7.toys.	3600	in	ns	ns66.domaincontrol.com.
25n7ms0sl4j9ev4qo23sdlkbii6uso84.toys.	3600	in	nsec3	1 1 0 73 25NUMI1TMO5QNU5IFHFKFJQ6VM76L76U NS DS RRSIG
25n7ms0sl4j9ev4qo23sdlkbii6uso84.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. rVY4eo6umhnqZw3eXSfEsDdpmQ8Y6/hwM7XPAX779D2nl4R0W3l204api55Nf5MxvcdMpIVg4Rqkaucfwgip7skyDCRCkrLirHW9ZAqDM35viRBm5IkAeebMI6lwv+JfIXnOumuUEJZQRDeJfaI5c10Qb16alLULG1aqkzedGsg=
25numi1tmo5qnu5ifhfkfjq6vm76l76u.toys.	3600	in	nsec3	1 1 0 73 28JDJNN7K0O3DBTS06O3OM0ACR1AMH6A NS DS RRSIG
25numi1tmo5qnu5ifhfkfjq6vm76l76u.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. 7pV0KzBfycqy1+rV2VKNQ1kyZyp8nPMot8jkQGqJDowRNbT1JJyiCp9MzsgXgfdOeTgrI0zSWeB3YcF0uchX3CwSyQZVZxUdjBC6c+08+guByF0hLgrbtgQqyikZgF7/BW7xJYr4L2ACcyDtYe9KW9YYEUkTwTPugeKkZt25JZ8=
28jdjnn7k0o3dbts06o3om0acr1amh6a.toys.	3600	in	nsec3	1 1 0 73 2KFFCKJ7RCBVV19C3T5PJ9F7NISE61IG NS DS RRSIG
28jdjnn7k0o3dbts06o3om0acr1amh6a.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. ZQhtMjHIySO7//bo1V3+eYG7lsZYU5SEi5DFhBf3jzv9dSeJHZFsD7FjKtbpCfsWujWkKqjeQwRDP7ePgn9aLGLkXc/I7DWc55cWaf6aK/9kICz90nb+xtypAkF3f10ZXGYBIco27cKdYpgBm7dxEjaERodrSsyyE5JyDtns35U=
29x.toys.	3600	in	ns	ns1dhl.name.com.
29x.toys.	3600	in	ns	ns2nsy.name.com.
29x.toys.	3600	in	ns	ns3cpr.name.com.
29x.toys.	3600	in	ns	ns4bfy.name.com.
2kffckj7rcbvv19c3t5pj9f7nise61ig.toys.	3600	in	nsec3	1 1 0 73 2KM2UI268LFCCEAJBN8A09HDFVV5KJEU NS DS RRSIG
2kffckj7rcbvv19c3t5pj9f7nise61ig.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. EIYDfqHjemfciM3CPX/3lbuvY8OOfXp1s+KWaE//5Pi9nl3tU5tmk64vlGa1HV2GIWHXslD0fNGGf7v/VV+iT6weXsqIH1bJvLrewrf9AAvMSu20rnf5beMPS19heynSNfvlbLeGUIopr7/fMKwsyTGmZTNkb8ZaZKGw6/6RNBo=
2km2ui268lfcceajbn8a09hdfvv5kjeu.toys.	3600	in	nsec3	1 1 0 73 2OC67C83887BK6MLLVFPQCIVV9E5R5TJ NS DS RRSIG
2km2ui268lfcceajbn8a09hdfvv5kjeu.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. wGaXVaXDNyNCdBlkfFhieTLWDIwqMigvFCd4gexBivGy4HSoS1Ch658qYK2g1BYDQqfDqSlc5NB2gUoMJtzr5x9JQskpZvz4iRY73eCxg8zWoh8lVRxkVHYGthy8acCNJ1VueK5WGvs0B0ebn6WFl1bftK1zDIrRzCvtDN+lsZE=
2ksex.toys.	3600	in	ns	greg.ns.cloudflare.com.
2ksex.toys.	3600	in	ns	monika.ns.cloudflare.com.
2oc67c83887bk6mllvfpqcivv9e5r5tj.toys.	3600	in	nsec3	1 1 0 73 2P14AG9VN1TQ84CBMGIHTK1KA1N4N073 NS DS RRSIG
2oc67c83887bk6mllvfpqcivv9e5r5tj.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. 4o/12DCiciqOHn6nnPtipDX52djNmOdCXATQkLuoRxqTdPmXdikVRZjBDfOTUUayTZcQzqhL0+dvtJn574nJUKotD+6kOyZWgvEXufHhr+q/qybQZhZfQCRK+2wsM8AG2k2OrrDf6EW1gzcLZNgt94t9209YYfblQZgPb/N8XYk=
2p14ag9vn1tq84cbmgihtk1ka1n4n073.toys.	3600	in	nsec3	1 1 0 73 2QRJPT2NM9AQN2UCIF8ORNP7S54CGR0O NS DS RRSIG
2p14ag9vn1tq84cbmgihtk1ka1n4n073.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. uXA0xmWhqiC54BFc6faw14fClSuDqAEx3aiQZhh5klm+VsR5CQ4LYtojiS7eRRqnpEyxQRB0kBJ5HX1Zl0C3IGxJVvSXlZszyD5KX2l62s2XQ8GuJXzL7evIp/ah9Uj+3FWzBcCfbkUru22Vnree5zBSU6UFPrCclQBk84saXJM=
2qrjpt2nm9aqn2ucif8ornp7s54cgr0o.toys.	3600	in	nsec3	1 1 0 73 2VHGR2K1TTE0H6J0S8B43UGPT6T0BOF4 NS DS RRSIG
2qrjpt2nm9aqn2ucif8ornp7s54cgr0o.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. kTisY/peB/QMCoijk7MIHBsSq0h53kXuk4WNKJn3DcBmY6RNjRmetFMurWBoow0MGRNuSMMJP+7S7qFzk4QyT46r+BBfHNVSEIYZbhmVW6b9cmsK2oUwTLpgHt+xbFk9ATkNhWOdql6rYXzCVBoTj/hr/YkUVu9KY/Ne8nFNvgY=
2u.toys.	3600	in	ns	ns1cnb.name.com.
2u.toys.	3600	in	ns	ns2kqz.name.com.
2u.toys.	3600	in	ns	ns3cna.name.com.
2u.toys.	3600	in	ns	ns4ghm.name.com.
2vhgr2k1tte0h6j0s8b43ugpt6t0bof4.toys.	3600	in	nsec3	1 1 0 73 327U12AMTL5B6OLCB9NBBMAUK0V9K9SU NS DS RRSIG
2vhgr2k1tte0h6j0s8b43ugpt6t0bof4.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. XNy/Le2NEru1uU0mn9BC9vzniv3RqeDj90szRNNvSVOc4XJFSOWOGdarVtjIZsqAyhFKBga3/9h+Tst986NT7l6/QwlqC5p2i2NdstpqYYZHk7v72dSkOCNMY1IqyZk2DU0UsDNaLWTvzQJl82rx0r6GsF2pALY6+1YD9M4SeMU=
3000.toys.	3600	in	ns	ns-cloud-e1.googledomains.com.
3000.toys.	3600	in	ns	ns-cloud-e2.googledomains.com.
3000.toys.	3600	in	ns	ns-cloud-e3.googledomains.com.
3000.toys.	3600	in	ns	ns-cloud-e4.googledomains.com.
327u12amtl5b6olcb9nbbmauk0v9k9su.toys.	3600	in	nsec3	1 1 0 73 341I3I808KOS6QUUJ67BGUD6JHDG3I9R NS DS RRSIG
327u12amtl5b6olcb9nbbmauk0v9k9su.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. ZHqIMyGWWAzuXUCXtdt+ESanP8tcXSUYsXJ+Am+ePlm3U0CCM/XI+5stkodavy6Pzp9HoGLKl3S7KQxbB+6kw8vFY0XeG1+VOh7g+AhzGp26bzJu8114yoye0P8y8DP3e3IWB4TpakmOt90Awp9TU57ktzwRaQE2PDqPcp3K6Cc=
33win.toys.	3600	in	ns	kyle.ns.cloudflare.com.
33win.toys.	3600	in	ns	olivia.ns.cloudflare.com.
341i3i808kos6quuj67bgud6jhdg3i9r.toys.	3600	in	nsec3	1 1 0 73 36REC4P35L2CB754M0T9BE1QTLPS5ETV NS DS RRSIG
341i3i808kos6quuj67bgud6jhdg3i9r.toys.	3600	in	rrsig	NSEC3 8 2 3600 20240922161638 20240901151638 26241 toys. nA3kwZdwlocA0S57tf90iAnsThoA94X/0Tc75tYQf+ZGP4V/M26wW5zshGrkXEFPe73jT4b6oLilLOWgbNyPUX0J12E6uL8CGFFtBd7vYZBl71eziovHDgZsIKeBKvkvq/odpBNZFbyxHOTAn90iLocQA92ce4TWLQNVhFhaJkU=
3533.toys.	3600	in	ds	45459 13 2 E5BC2FE2D4FFBBBA3FD52C1C8CD19CCE7993490DDEBFA68D0C17259A62902DA4
3533.toys.	3600	in	ds	45459 13 4 79896355C8195ECAA27A79AD452B3137E6C6FE5A4C2F3EB093CAF6316235C11DDDA57F95F7288A31B2312F31362608A6
3533.toys.	3600	in	ns	ns1.expireddomain.hyp.net.
3533.toys.	3600	in	ns	ns2.expireddomain.hyp.net.
3533.toys.	3600	in	ns	ns3.expireddomain.hyp.net.
