zuerich.	900	in	soa	ns0.centralnic.net. hostmaster.centralnic.net. 2019106004 900 1800 6048000 3600
5q3lpd7299u953sb6legptupdbfo6t45.zuerich.	900	in	nsec3	1 1 0 - 5RKAKI8PGV3K3FRLQ0DN2GOGM20Q5LNA NS DS RRSIG
5q3lpd7299u953sb6legptupdbfo6t45.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. ezkQ9u1t2PJlKXEMBhAlsiQJ4wMTmG3l5w9DlmEvR3MKTYpxNM4kkXzHh/IYBhCssxw6qazd6MTPX2iRBkFaGvcWSqg0QRtNAeUfWl5LIhKWPxbO3oSUMxhMtxOs1KfK2CROdw4DsUlZ2nEyNirSReA1405ouKff942/My+WBFA=
5rkaki8pgv3k3frlq0dn2gogm20q5lna.zuerich.	900	in	nsec3	1 1 0 - 6U6QJKDD27L80HED1IQNP2ICRPISVSJV NS DS RRSIG
5rkaki8pgv3k3frlq0dn2gogm20q5lna.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. FzWMZ0dQyewnIVoKK7GjNDTZ9ZHtD60VsAZw2FuLVtCkdR5FsYd1rREFqjgiGUXmqqkwAX3ydtKGPw+gPqaJ2LbBeR99SMvuuH4OrjfvIx0lrlsZrQHDgWg4/5mBVKrGCHfICdzL2W3+rTzgYHk8srjkDBcgKgNlGW98axEdL9I=
6u6qjkdd27l80hed1iqnp2icrpisvsjv.zuerich.	900	in	nsec3	1 1 0 - 7JCMIG9AA6200FHSPK3MM2M5TQFEQCCL NS DS RRSIG
6u6qjkdd27l80hed1iqnp2icrpisvsjv.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. xCV9muZgBOa+4XzHUOUaiVQBTfjFF9zFdTXCnyNc2qcAtuZM8MZYb+tsO9OrclMwsW32TWHaPh4Mwq7NxkIzbf5At5LI9hQKzrbHGmwrfeRLWHiPRo/G0pQ3F+3wABNi1iC7Uu2A7eZwE4JiR8VpI9IUQS14l2233yqvUUWTaAU=
7jcmig9aa6200fhspk3mm2m5tqfeqccl.zuerich.	900	in	nsec3	1 1 0 - 7UQ4HQH3FOQTB2ONNDS6I090O99J9C3B NS DS RRSIG
7jcmig9aa6200fhspk3mm2m5tqfeqccl.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. r7Jnr5cfCrZQH0mb0scR+RFaCJ6C9lPE58dfRATpTvVtyOo0vN1mbcd5T5eUNbJO3rUPOnx7S7cQcV0223twRmjTTKqZhgqzA23/UeDuqxEmBz8H5TRZMuYKtH5seHSVf362bLGCk+FgBOrULpWQ9JPY+uMR3xfKtvP1BDHic+k=
7uq4hqh3foqtb2onnds6i090o99j9c3b.zuerich.	900	in	nsec3	1 1 0 - 8GVFD4AP6JE6J6R6VQ22Q43QN2LNHSTT NS DS RRSIG
7uq4hqh3foqtb2onnds6i090o99j9c3b.zuerich.	900	in	rrsig	NSEC3 8 2 900 20240926133722 20240827120722 52075 zuerich. SVH+6NjXv2KqloxL9TqsF9noyTrlaRhOIjOLQeIxIZMHHAtL6ONJOUsl1/SiCtUuwYe8Bw88GUuvzi8UGViD/nadUGPi0rTi+30OVlyygNaCKB4feW0BRldTCRKFhykjHiMEEyqyb7lb7Tfp0OoHfbpEERPlJ4CV/2ejSgiv0TM=
